#Top: ios   Floorplan: io_1   Part: xc7a35tfgg484-1,,,,,,,,,,,,
#Generated by: kremerme   on: Mon Mar  8 10:36:28 2021,,,,,,,,,,,,
#Build: Vivado v2020.2   by: xbuild   on: Wed Nov 18 09:12:47 MST 2020,,,,,,,,,,,,
#Package Version: FINAL 2013-11-27,,,,,,,,,,,,
#Package Pin Delay Version: VERS. 2.0 2013-11-27,,,,,down 100,,,,,,,
,,,,maybe,maybe,,,,,,,
IO Bank,LEAD,Pin Name,Pin Number,"X, pos","Y, Pos",const,"U,D,L,R",const,const,sheet?,const,type
0,X,VN_0,M9,500,0,100,D,50,50,2,0,W
0,X,VP_0,L10,500,-100,100,D,50,50,2,0,W
0,X,DONE_0,G11,500,-200,100,L,50,50,2,0,O
0,X,DXP_0,N10,500,-300,100,L,50,50,2,0,I
0,X,GNDADC_0,K9,500,-400,100,U,50,50,2,0,W
0,X,VCCADC_0,K10,500,-500,100,D,50,50,2,0,W
0,X,VREFP_0,M10,500,-600,100,L,50,50,2,0,I
0,X,VCCBATT_0,E12,500,-700,100,D,50,50,2,0,W
0,X,TCK_0,V12,500,-800,100,L,50,50,2,0,I
0,X,DXN_0,N9,500,-900,100,L,50,50,2,0,I
0,X,VREFN_0,L9,500,-1000,100,D,50,50,2,0,W
0,X,CCLK_0,L12,500,-1100,100,L,50,50,2,0,I
0,X,0,U11,500,-1200,100,L,50,50,2,0,I
0,X,M1_0,U10,500,-1300,100,L,50,50,2,0,I
0,X,INIT_B_0,U12,500,-1400,100,L,50,50,2,0,I
0,X,TDI_0,R13,500,-1500,100,L,50,50,2,0,I
0,X,TDO_0,U13,500,-1600,100,L,50,50,2,0,I
0,X,M2_0,U9,500,-1700,100,L,50,50,2,0,I
0,X,CFGBVS_0,U8,500,-1800,100,L,50,50,2,0,I
0,X,PROGRAM_B_0,N12,500,-1900,100,L,50,50,2,0,I
0,X,TMS_0,T13,500,-2000,100,L,50,50,2,0,I
0,X,VCCO_0,F12,500,-2100,100,D,50,50,2,0,W
0,X,VCCO_0,T12,500,-2200,100,D,50,50,2,0,W
13,X,VCCO_13,AA17,500,0,100,D,50,50,3,0,W
13,X,VCCO_13,AB14,500,-100,100,D,50,50,3,0,W
13,X,VCCO_13,V16,500,-200,100,D,50,50,3,0,W
13,X,VCCO_13,W13,500,-300,100,D,50,50,3,0,W
13,X,VCCO_13,Y10,500,-400,100,D,50,50,3,0,W
14,X,IO_0_14,P20,500,0,100,L,50,50,4,0,I
14,X,IO_L1P_T0_D00_MOSI_14,P22,500,-100,100,L,50,50,4,0,I
14,X,IO_L1N_T0_D01_DIN_14,R22,500,-200,100,L,50,50,4,0,I
14,X,IO_L2P_T0_D02_14,P21,500,-300,100,L,50,50,4,0,I
14,X,IO_L2N_T0_D03_14,R21,500,-400,100,L,50,50,4,0,I
14,X,IO_L3P_T0_DQS_PUDC_B_14,U22,500,-500,100,L,50,50,4,0,I
14,X,IO_L3N_T0_DQS_EMCCLK_14,V22,500,-600,100,L,50,50,4,0,I
14,X,IO_L4P_T0_D04_14,T21,500,-700,100,L,50,50,4,0,I
14,X,IO_L4N_T0_D05_14,U21,500,-800,100,L,50,50,4,0,I
14,X,IO_L5P_T0_D06_14,P19,500,-900,100,L,50,50,4,0,I
14,X,IO_L5N_T0_D07_14,R19,500,-1000,100,L,50,50,4,0,I
14,X,IO_L6P_T0_FCS_B_14,T19,500,-1100,100,L,50,50,4,0,I
14,X,IO_L6N_T0_D08_VREF_14,T20,500,-1200,100,L,50,50,4,0,I
14,X,IO_L7P_T1_D09_14,W21,500,-1300,100,L,50,50,4,0,I
14,X,IO_L7N_T1_D10_14,W22,500,-1400,100,L,50,50,4,0,I
14,X,IO_L8P_T1_D11_14,AA20,500,-1500,100,L,50,50,4,0,I
14,X,IO_L8N_T1_D12_14,AA21,500,-1600,100,L,50,50,4,0,I
14,X,IO_L9P_T1_DQS_14,Y21,500,-1700,100,L,50,50,4,0,I
14,X,IO_L9N_T1_DQS_D13_14,Y22,500,-1800,100,L,50,50,4,0,I
14,X,IO_L10P_T1_D14_14,AB21,500,-1900,100,L,50,50,4,0,I
14,X,IO_L10N_T1_D15_14,AB22,500,-2000,100,L,50,50,4,0,I
14,X,IO_L11P_T1_SRCC_14,U20,500,-2100,100,L,50,50,4,0,I
14,X,IO_L11N_T1_SRCC_14,V20,500,-2200,100,L,50,50,4,0,I
14,X,IO_L12P_T1_MRCC_14,W19,500,-2300,100,L,50,50,4,0,I
14,X,IO_L12N_T1_MRCC_14,W20,500,-2400,100,L,50,50,4,0,I
14,X,IO_L13P_T2_MRCC_14,Y18,500,-2500,100,L,50,50,4,0,I
14,X,IO_L13N_T2_MRCC_14,Y19,500,-2600,100,L,50,50,4,0,I
14,X,IO_L14P_T2_SRCC_14,V18,500,-2700,100,L,50,50,4,0,I
14,X,IO_L14N_T2_SRCC_14,V19,500,-2800,100,L,50,50,4,0,I
14,X,IO_L15P_T2_DQS_RDWR_B_14,AA19,500,-2900,100,L,50,50,4,0,I
14,X,IO_L15N_T2_DQS_DOUT_CSO_B_14,AB20,500,-3000,100,L,50,50,4,0,I
14,X,IO_L16P_T2_CSI_B_14,V17,500,-3100,100,L,50,50,4,0,I
14,X,IO_L16N_T2_A15_D31_14,W17,500,-3200,100,L,50,50,4,0,I
14,X,IO_L17P_T2_A14_D30_14,AA18,500,-3300,100,L,50,50,4,0,I
14,X,IO_L17N_T2_A13_D29_14,AB18,500,-3400,100,L,50,50,4,0,I
14,X,IO_L18P_T2_A12_D28_14,U17,500,-3500,100,L,50,50,4,0,I
14,X,IO_L18N_T2_A11_D27_14,U18,500,-3600,100,L,50,50,4,0,I
14,X,IO_L19P_T3_A10_D26_14,P14,500,-3700,100,L,50,50,4,0,I
14,X,IO_L19N_T3_A09_D25_VREF_14,R14,500,-3800,100,L,50,50,4,0,I
14,X,IO_L20P_T3_A08_D24_14,R18,500,-3900,100,L,50,50,4,0,I
14,X,IO_L20N_T3_A07_D23_14,T18,500,-4000,100,L,50,50,4,0,I
14,X,IO_L21P_T3_DQS_14,N17,500,-4100,100,L,50,50,4,0,I
14,X,IO_L21N_T3_DQS_A06_D22_14,P17,500,-4200,100,L,50,50,4,0,I
14,X,IO_L22P_T3_A05_D21_14,P15,500,-4300,100,L,50,50,4,0,I
14,X,IO_L22N_T3_A04_D20_14,R16,500,-4400,100,L,50,50,4,0,I
14,X,IO_L23P_T3_A03_D19_14,N13,500,-4500,100,L,50,50,4,0,I
14,X,IO_L23N_T3_A02_D18_14,N14,500,-4600,100,L,50,50,4,0,I
14,X,IO_L24P_T3_A01_D17_14,P16,500,-4700,100,L,50,50,4,0,I
14,X,IO_L24N_T3_A00_D16_14,R17,500,-4800,100,L,50,50,4,0,I
14,X,IO_25_14,N15,500,-4900,100,L,50,50,4,0,I
14,X,VCCO_14,M14,500,-5000,100,D,50,50,4,0,W
14,X,VCCO_14,P18,500,-5100,100,D,50,50,4,0,W
14,X,VCCO_14,R15,500,-5200,100,D,50,50,4,0,W
14,X,VCCO_14,T22,500,-5300,100,D,50,50,4,0,W
14,X,VCCO_14,U19,500,-5400,100,D,50,50,4,0,W
14,X,VCCO_14,Y20,500,-5500,100,D,50,50,4,0,W
15,X,IO_0_15,J16,500,0,100,L,50,50,5,0,I
15,X,IO_L1P_T0_AD0P_15,H13,500,-100,100,L,50,50,5,0,I
